,All recorded offences,,,,,,,,,,,,,,,,,,Violence Against the Person,,,,,,,,,,,,,,,,,,Sexual Offences,,,,,,,,,,,,,,,,,,Robbery,,,,,,,,,,,,,,,,,,Burglary,,,,,,,,,,,,,,,,,,Theft and Handling,,,,,,,,,,,,,,,,,,Fraud or Forgery,,,,,,,,,,,,,,,,,,Criminal Damage,,,,,,,,,,,,,,,,,,Drugs,,,,,,,,,,,,,,,,,,Other Notifiable Offences,,,,,,,,,,,,,,,,,
Borough,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enfield,"28,588","28,019","29,401","30,042","29,998","28,131","27,473","27,058","25,275","24,533","24,459","23,657","22,928","22,521","22,631","22,308","22,942","19,401","4,040","4,798","5,077","5,593","5,142","5,190","5,256","5,342","4,236","4,237","4,637","4,427","4,137","4,340","4,764","6,288","6,994","6,265",221,256,296,299,311,247,293,241,246,252,343,329,272,306,356,475,515,448,"1,013","1,163","1,292","1,072","1,211","1,143","1,454","1,507","1,286","1,143","1,325","1,280","1,125","1,083",918,832,907,721,"4,874","3,973","4,411","4,301","3,865","3,528","3,844","3,638","3,635","3,985","3,936","3,523","3,541","3,742","3,454","2,953","2,748","2,016","10,148","10,569","11,029","11,470","11,774","10,793","9,703","9,061","8,709","7,902","7,508","7,802","8,072","8,572","8,984","7,848","7,848","6,901","3,479","2,599","2,205","1,841","2,235","2,055","1,528","1,177",871,"1,096","1,198","1,345","1,361",872,39,40,34,31,"3,845","3,826","4,207","4,414","4,675","4,278","3,946","3,741","3,656","3,521","3,410","2,835","2,599","2,071","2,035","2,107","2,110","1,803",665,562,545,746,556,553,"1,171","2,099","2,369","2,129","1,762","1,701","1,464","1,215","1,710","1,318","1,337",761,303,273,339,306,229,344,278,252,267,268,340,415,357,320,371,447,449,455
Greenwich,"29,991","28,165","28,995","31,202","31,347","31,186","31,354","29,829","30,617","28,677","25,622","24,130","22,415","21,110","19,630","21,023","21,950","20,023","6,234","6,308","6,257","6,892","6,855","7,870","7,713","7,486","7,270","6,740","6,128","5,441","5,307","5,290","5,411","6,837","8,114","7,280",349,343,361,369,382,352,370,361,324,317,398,426,363,331,350,484,534,473,471,469,750,693,"1,083","1,172","1,229","1,479","1,294","1,075",849,893,755,550,443,440,478,403,"3,766","3,050","2,794","2,986","3,080","2,970","3,209","3,241","3,420","3,576","2,930","2,692","2,624","2,268","2,348","2,069","1,836","1,517","11,103","10,405","10,486","11,758","11,356","10,229","10,297","8,733","10,165","9,473","8,545","8,506","7,740","8,148","7,279","7,481","7,100","7,045","1,817","1,333","2,142","2,180","1,951","1,686","1,659","1,921","1,254","1,393","1,212","1,288","1,249",731,49,39,47,43,"5,108","5,057","5,046","5,337","5,759","5,550","5,395","5,007","4,509","3,920","3,644","3,191","2,713","2,195","1,969","2,090","2,385","2,129",845,949,884,684,571,937,"1,214","1,317","2,003","1,788","1,426","1,285","1,296","1,247","1,356","1,131",922,684,298,251,275,303,310,420,268,284,378,395,490,408,368,350,425,452,534,449
Hackney,"39,007","38,242","39,769","39,267","39,035","36,492","34,630","31,160","32,241","29,713","28,721","28,016","27,902","27,804","26,031","25,706","27,209","24,933","6,655","6,320","6,702","6,810","7,141","7,289","7,471","7,148","7,053","6,464","6,641","5,948","5,399","5,699","6,052","7,598","8,474","7,623",377,371,370,370,415,454,463,385,375,420,461,414,371,377,436,555,648,604,"2,437","2,275","3,009","2,466","2,441","1,926","1,856","1,685","1,313","1,103","1,094","1,080","1,222","1,232","1,015",993,"1,000",964,"4,805","4,298","4,287","4,807","4,327","3,897","3,547","2,687","2,765","2,752","2,564","2,523","2,197","2,554","2,888","2,517","2,580","2,289","15,209","16,424","16,831","16,642","16,704","14,762","14,502","12,521","11,862","10,634","10,714","12,161","12,948","13,064","11,769","10,386","10,564","10,340","2,920","2,419","2,356","1,828","1,709","1,662","1,015",786,896,842,931,813,809,690,20,28,28,15,"5,156","4,828","4,898","4,717","4,241","4,086","3,299","3,142","3,058","2,403","2,378","2,204","2,110","1,811","1,663","1,955","2,030","1,643",999,951,969,"1,256","1,655","2,105","2,125","2,466","4,511","4,674","3,530","2,532","2,534","2,017","1,792","1,224","1,411","1,006",449,356,347,371,402,311,352,340,408,421,408,341,312,360,396,450,474,449
Hammersmith and Fulham,"28,600","28,236","29,487","30,003","28,650","27,139","25,861","25,334","23,219","22,928","22,867","24,151","23,426","21,782","18,985","20,259","20,514","17,629","4,683","4,365","4,283","4,323","4,287","4,622","5,041","5,054","4,983","4,939","4,718","4,893","4,345","4,269","4,044","5,124","5,941","5,168",244,222,219,262,268,226,223,209,247,232,217,251,203,262,285,348,402,365,853,911,"1,343","1,271","1,146","1,386","1,285","1,172",857,683,749,840,788,696,514,388,348,348,"3,177","3,076","2,789","3,089","2,827","3,023","3,052","2,732","2,634","2,287","1,886","2,518","2,323","1,715","1,506","1,483","1,592","1,314","12,595","13,394","14,549","14,590","14,072","12,778","11,670","11,328","9,381","9,448","10,296","10,706","11,246","10,534","8,955","9,272","8,873","7,773","2,154","1,526","1,359","1,485","1,344","1,003",942,816,598,745,818,765,808,761,24,30,20,22,"3,846","3,718","3,719","3,450","3,168","2,950","2,492","2,381","2,267","2,137","1,952","1,967","1,746","1,373","1,206","1,463","1,410","1,219",674,712,884,"1,160","1,165",872,914,"1,390","1,983","2,194","1,882","1,841","1,586","1,809","2,038","1,686","1,481","1,013",374,312,342,373,373,279,242,252,269,263,349,370,381,363,413,465,447,407
Haringey,"34,075","32,799","37,661","39,017","36,807","35,553","35,367","30,595","29,487","27,379","25,743","24,588","25,911","23,377","22,074","23,824","26,024","23,894","4,874","5,202","5,088","5,446","5,485","6,326","6,922","5,651","5,374","5,312","5,104","4,892","4,691","4,701","4,827","6,659","7,899","7,355",431,431,492,511,499,423,424,296,296,276,347,382,332,360,364,504,580,535,"2,008","2,340","2,626","2,166","1,903","1,430","2,024","1,946","1,503","1,138","1,083","1,072","1,497","1,049",933,"1,095","1,196","1,166","4,358","4,159","4,803","4,356","4,115","4,084","3,841","3,559","3,721","3,776","3,505","3,427","3,648","3,150","2,907","2,825","2,472","2,003","12,946","12,555","14,942","16,332","14,829","13,823","13,492","11,518","11,012","9,168","9,083","8,837","9,733","9,687","9,571","8,967","9,600","9,290","3,477","1,992","2,753","2,263","2,614","2,884","2,142","1,654","1,307","1,450","1,321","1,267","1,239",820,21,39,34,46,"4,850","4,699","5,043","4,885","4,731","4,393","3,861","3,296","3,703","3,362","2,992","2,625","2,748","2,019","1,907","2,208","2,151","1,882",773,"1,055","1,507","2,598","2,244","1,728","2,232","2,351","2,288","2,604","2,047","1,843","1,769","1,311","1,235","1,126","1,574","1,169",358,366,407,460,387,462,429,324,283,293,261,243,254,280,309,401,518,448
Harrow,"16,777","17,031","18,217","19,573","18,430","18,107","17,481","15,837","14,074","15,047","15,392","14,973","14,169","13,463","12,236","12,316","13,174","11,309","2,342","2,465","2,658","2,827","2,858","3,041","3,028","2,870","2,576","3,126","3,464","3,258","2,865","2,873","3,198","3,725","4,333","3,591",153,123,118,133,138,193,156,200,168,161,205,172,170,202,219,275,276,243,607,559,892,613,624,699,862,769,528,547,467,444,724,644,430,300,367,300,"2,843","2,791","2,623","2,736","2,626","2,178","2,446","1,959","2,295","2,329","2,256","2,404","2,707","2,491","2,023","1,563","1,892","1,608","5,714","5,855","6,376","7,637","7,253","6,924","6,849","6,199","5,141","5,048","5,007","5,012","4,527","4,489","4,005","4,114","4,320","3,926","1,905","1,860","2,092","2,290","1,758","1,886","1,273",850,606,772,919,986,838,594,21,25,17,16,"2,633","2,732","2,819","2,694","2,660","2,644","2,222","2,074","1,770","1,873","1,867","1,577","1,450","1,266","1,084","1,202","1,193","1,025",387,436,445,452,324,376,502,724,852,983,974,896,675,685,"1,017",879,553,365,193,210,194,191,189,166,143,192,138,208,233,224,213,219,239,233,223,235
Havering,"18,787","19,761","21,868","21,537","22,165","21,431","21,772","19,997","17,200","18,020","17,153","17,581","17,302","16,458","15,127","15,358","16,851","14,680","2,661","2,787","3,225","3,901","3,922","4,191","4,172","3,639","3,123","3,131","3,391","3,700","3,283","3,317","3,437","4,199","5,425","5,119",145,158,173,178,181,159,213,147,132,178,220,220,193,183,215,440,370,316,240,392,549,479,512,442,459,549,312,341,346,418,499,401,272,294,338,265,"2,373","2,356","2,567","2,386","2,161","2,315","2,453","2,511","2,221","2,512","2,790","2,323","2,900","2,755","2,395","1,992","1,844","1,549","8,071","7,915","8,636","8,211","8,488","7,712","8,742","7,636","6,283","6,702","6,254","6,512","6,506","6,454","6,147","5,730","6,000","5,013","1,602","1,685","1,659","1,666","1,691","1,691","1,536","1,265",900,"1,170",702,913,873,433,12,18,22,9,"2,978","3,855","4,317","4,091","4,577","4,262","3,538","3,421","2,927","2,773","2,287","2,136","1,839","1,531","1,468","1,629","1,702","1,533",552,449,539,424,472,505,505,659,"1,156","1,018",961,"1,142",980,"1,137",929,720,766,563,165,164,203,201,161,154,154,170,146,195,202,217,229,247,252,336,384,313
Hillingdon,"26,281","26,739","29,074","29,214","29,349","27,800","28,377","28,144","26,399","25,420","24,165","23,535","23,937","20,636","19,268","22,019","21,972","19,195","3,713","4,094","4,766","4,983","5,222","5,921","6,261","5,911","5,882","6,138","5,869","5,684","5,369","4,870","5,035","6,930","7,471","6,459",224,207,268,276,267,268,302,255,250,223,298,289,260,276,315,404,432,23,401,472,645,588,512,593,876,974,793,784,697,865,943,788,505,482,330,4,"4,266","4,085","3,643","3,569","3,183","3,143","3,137","3,182","3,361","3,142","3,202","3,194","3,846","3,093","2,845","2,582","2,131","1,890","10,114","10,577","10,539","10,794","10,725","9,883","9,687","9,983","8,621","8,001","7,839","7,512","8,192","7,471","7,045","7,924","7,718","6,858","2,060","1,581","2,647","2,277","2,087","1,647","1,172","1,026","1,069","1,272","1,142","1,071",938,613,14,19,24,35,"4,796","5,083","5,790","5,695","6,451","5,498","5,303","4,810","4,210","3,707","3,232","3,173","2,687","2,181","2,172","2,314","2,340","2,102",446,415,535,774,650,614,"1,420","1,647","1,932","1,810","1,560","1,372","1,393","1,016",999,983,"1,134",686,261,225,241,258,252,233,219,356,281,343,326,375,309,328,338,381,392,385
Hounslow,"31,032","29,034","29,929","32,842","30,416","27,908","27,233","24,485","23,623","23,748","23,142","23,855","24,768","22,509","19,668","20,825","21,926","19,339","5,200","5,436","5,798","7,110","6,946","6,772","6,434","5,502","5,352","5,548","5,602","5,681","5,556","5,217","5,228","6,369","7,371","6,275",286,245,279,308,285,292,284,274,267,256,281,306,279,326,339,506,525,403,574,717,"1,042",954,820,712,841,869,836,699,645,655,719,679,452,409,381,377,"3,566","3,415","3,192","3,374","3,450","2,969","2,982","2,594","2,527","2,593","2,711","2,418","2,897","2,962","2,212","1,853","1,755","1,606","11,920","11,264","11,279","11,881","10,742","9,755","9,724","8,958","7,978","7,890","7,789","8,337","9,012","8,713","7,582","7,775","8,156","7,426","3,166","2,325","2,466","2,817","2,527","2,072","2,001","1,217","1,072","1,195","1,008","1,445","1,412",699,19,20,24,32,"5,449","4,871","4,883","5,248","4,642","4,414","3,904","3,782","3,450","3,054","2,903","2,776","2,711","2,057","1,965","2,012","2,248","1,831",572,528,667,815,643,643,817,"1,005","1,862","2,122","1,843","1,856","1,771","1,533","1,550","1,505","1,013",914,299,233,323,335,361,279,246,284,279,391,360,381,411,323,321,376,453,441
Islington,"38,427","35,968","37,611","39,425","40,816","37,956","37,050","35,248","30,228","29,383","28,432","28,076","27,025","27,865","24,603","26,222","28,144","23,254","5,255","5,443","5,667","6,347","6,607","7,617","7,002","6,289","5,364","5,766","5,850","5,914","5,076","5,394","5,133","6,884","7,780","6,532",334,264,347,425,423,368,346,294,273,272,267,301,284,293,332,447,481,461,"1,761","1,511","1,659","1,664","1,397","1,244","1,412","1,488","1,205","1,096",991,972,"1,224","1,163",897,946,952,353,"4,902","4,292","4,567","4,429","3,957","3,681","3,683","3,728","3,345","3,015","2,852","2,689","2,830","2,322","2,511","2,266","2,412","1,614","16,068","16,378","17,747","19,058","20,560","17,822","18,069","16,775","13,583","12,031","12,377","13,034","12,849","13,942","12,232","11,979","12,308","10,408","3,801","2,301","1,611","1,439","1,393","1,488",961,"1,387",464,732,844,823,699,775,28,28,35,26,"4,839","4,658","4,632","4,662","4,891","4,302","3,917","3,433","2,916","2,666","2,508","2,166","2,054","1,801","1,667","2,005","2,032","1,567","1,039",778,915,952,"1,101","1,094","1,361","1,540","2,763","3,374","2,332","1,838","1,640","1,761","1,412","1,207","1,630","1,420",428,343,466,449,487,340,299,314,315,431,411,339,369,414,391,460,514,437
